"time(s)",195.85,195.87,195.89,195.92,195.94,195.96,195.98,196.00,196.03,196.05,196.07,196.10,196.12,196.14,196.17,196.19,196.22,196.24,196.26,196.28,196.31,196.33,196.35,196.38,196.40,196.42,196.44,196.46,196.48,196.51,196.53,196.56,196.58,196.60,196.63,196.65,196.67,196.69,196.72,196.74,196.76,196.79,196.81,196.83,196.85,196.87,196.90,196.92,196.94,196.97,196.99,197.02,197.04,197.07,197.09,197.11,197.14,197.16,197.18,197.20,197.22,197.24,197.26,197.28,197.31,197.33,197.35,197.37,197.39,197.42,197.44,197.46,197.48,197.50,197.53,197.55,197.57,197.59,197.62,197.64,197.67,197.69,197.72,197.74,197.76,197.79,197.81,197.84,197.86,197.88,197.91,197.93,197.95,197.97,197.99,198.01,198.04,198.06,198.08,198.11,198.13,198.15,198.18,198.20,198.22,198.24,198.26,198.29,198.31,198.33,198.35,198.38,198.41,198.43,198.45,198.47,198.50,198.52,198.55,198.57,198.59,198.62,198.64,198.66,198.68,198.70,198.72,198.75,198.77,198.79,198.81,198.83,198.86,198.88,198.90,198.93,198.95,198.97,199.00,199.02,199.04,199.07,199.09,199.11,199.13,199.15,199.17,199.20,199.22,199.24,199.26,199.29,199.31,199.34,199.36,199.38,199.40,199.43,199.45,199.47,199.49,199.52,199.54,199.56,199.58,199.60,199.63,199.65,199.67,199.69,199.72,199.74,199.76,199.79,199.81,199.83,199.85,199.88,199.90,199.92,199.94,199.96,199.98,200.01,200.03,200.05,200.08,200.10,200.12,200.15,200.17,200.19,200.21,200.24,200.26,200.29,200.31,200.33,200.35,200.38,200.40,200.42,200.45,200.47,200.49,200.51,200.53,200.56,200.58,200.60,200.62,200.64,200.66,200.69,200.71,200.73,200.75,200.78,200.80,200.82,200.85,200.87,200.89,200.91,200.93,200.95,200.98,201.00,201.02,201.04,201.07,201.09,201.12,201.14,201.16,201.18,201.21,201.23,201.25,201.27,201.30,201.32,201.34,201.37,201.39,201.41,201.43,201.45,201.47,201.49,201.52,201.54,201.56,201.58,201.60,201.62,201.65,201.67,201.69,201.71,201.74,201.76,201.78,201.80,201.82,201.85,201.87,201.90,201.92,201.94,201.97,201.99,202.01,202.03,202.06,202.08,202.10,202.13,202.15,202.17,202.19,202.21,202.24,202.26,202.28,202.30,202.32,202.34,202.36,202.39,202.41,202.43,202.45,202.47,202.49,202.52,202.54,202.56,202.59,202.61,202.63,202.66,202.68,202.70,202.72,202.75,202.77,202.79,202.82,202.84,202.86,202.88,202.90,202.93,202.95,202.98,203.00,203.03,203.05,203.07,203.10,203.12,203.14,203.17,203.19,203.21,203.23,203.26,203.28,203.30,203.33,203.35,203.38,203.40,203.43,203.45,203.48,203.50,203.53,203.56,203.58,203.60,203.63,203.65,203.68,203.70,203.72,203.75,203.77,203.80,203.82,203.84,203.87,203.89,203.92,203.94,203.97,203.99,204.01,204.04,204.06,204.08,204.10,204.13,204.15,204.17,204.19,204.21,204.23,204.26,204.28,204.30,204.33,204.35,204.37,204.39,204.41,204.44,204.46,204.48,204.50,204.52,204.55,204.57,204.59,204.62,204.64,204.67,204.69,204.71,204.74,204.76,204.78,204.80,204.82,204.84,204.87,204.89,204.91,204.93,204.95,204.98,205.00,205.03,205.05,205.07,205.10,205.12,205.14,205.17,205.19,205.21,205.24,205.26,205.28,205.30,205.33,205.35,205.37,205.39,205.41,205.44,205.46,205.48,205.50,205.53,205.55,205.57,205.59,205.61,205.64,205.66,205.68,205.71,205.73,205.75,205.77,205.79,205.82,205.84,205.86,205.88,205.91,205.93,205.95,205.97,206.00,206.02,206.04,206.07,206.09,206.11,206.13,206.15,206.18,206.20,206.22,206.24,206.26,206.28,206.31,206.33,206.35,206.37,206.39,206.41,206.44,206.46,206.48,206.51,206.53,206.55,206.57,206.59,206.61,206.64,206.66,206.68,206.70,206.73,206.75,206.77,206.79,206.81,206.84,206.86,206.89,206.91,206.94,206.97,206.99,207.02,207.04,207.07,207.10,207.12,207.14,207.16,207.18,207.21,
"is air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
"(fpm)",-336.03,-333.84,-331.47,-329.06,-326.73,-324.31,-321.93,-319.45,-316.97,-314.38,-311.71,-308.67,-305.78,-303.14,-300.54,-297.36,-294.16,-291.41,-288.79,-286.07,-283.38,-280.17,-277.48,-274.77,-271.57,-268.97,-266.38,-263.73,-261.16,-258.52,-255.40,-252.80,-249.75,-247.30,-244.30,-241.35,-238.88,-236.51,-234.17,-231.82,-229.56,-227.26,-224.51,-222.38,-220.26,-218.18,-216.03,-213.99,-211.71,-209.78,-207.60,-205.91,-203.82,-201.88,-200.24,-198.72,-197.26,-195.66,-194.35,-193.08,-191.87,-190.69,-189.57,-188.45,-187.43,-186.40,-185.47,-184.55,-183.73,-182.94,-182.21,-181.53,-180.89,-180.31,-179.78,-179.30,-178.86,-178.48,-178.09,-177.82,-177.54,-177.32,-177.19,-177.08,-177.02,-177.00,-177.02,-177.09,-177.17,-177.27,-177.44,-177.59,-177.76,-177.95,-178.15,-178.38,-178.62,-178.87,-179.15,-179.42,-179.77,-180.06,-180.44,-180.80,-181.12,-181.45,-181.77,-182.11,-182.45,-182.79,-183.13,-183.46,-183.86,-184.34,-184.68,-185.02,-185.36,-185.69,-186.08,-186.47,-186.80,-187.20,-187.53,-187.86,-188.20,-188.55,-188.90,-189.25,-189.60,-189.96,-190.33,-190.71,-191.09,-191.47,-191.88,-192.27,-192.72,-193.18,-193.58,-193.97,-194.35,-194.79,-195.14,-195.48,-195.81,-196.10,-196.37,-196.63,-196.85,-197.05,-197.21,-197.34,-197.44,-197.50,-197.51,-197.47,-197.38,-197.26,-197.10,-196.90,-196.66,-196.34,-196.01,-195.64,-195.23,-194.78,-194.29,-193.75,-193.20,-192.62,-191.86,-191.19,-190.38,-189.67,-188.93,-188.17,-187.35,-186.57,-185.75,-184.93,-184.12,-183.29,-182.47,-181.65,-180.82,-179.83,-179.00,-178.14,-177.28,-176.42,-175.40,-174.35,-173.47,-172.60,-171.70,-170.60,-169.46,-168.48,-167.50,-166.49,-165.23,-164.15,-163.02,-161.65,-160.45,-159.22,-157.97,-156.69,-155.35,-154.01,-152.64,-151.23,-149.81,-148.38,-146.87,-145.39,-143.92,-142.34,-140.77,-139.17,-137.73,-136.13,-134.74,-133.18,-131.84,-130.51,-129.23,-127.97,-126.76,-125.56,-124.42,-123.07,-121.80,-120.60,-119.63,-118.72,-117.86,-117.02,-116.24,-115.40,-114.73,-114.11,-113.41,-112.87,-112.38,-111.93,-111.52,-111.12,-110.77,-110.43,-110.11,-109.82,-109.55,-109.31,-109.07,-108.84,-108.63,-108.44,-108.25,-108.07,-107.90,-107.70,-107.54,-107.39,-107.24,-107.11,-106.95,-106.82,-106.68,-106.57,-106.46,-106.37,-106.28,-106.18,-106.11,-106.04,-105.98,-105.92,-105.87,-105.82,-105.78,-105.74,-105.71,-105.69,-105.66,-105.65,-105.63,-105.63,-105.63,-105.63,-105.65,-105.67,-105.71,-105.76,-105.82,-105.89,-105.97,-106.08,-106.22,-106.37,-106.53,-106.76,-106.97,-107.20,-107.46,-107.79,-108.11,-108.52,-108.88,-109.29,-109.69,-110.15,-110.67,-111.16,-111.77,-112.33,-113.00,-113.68,-114.29,-114.90,-115.65,-116.39,-117.01,-117.63,-118.25,-118.85,-119.46,-120.06,-120.75,-121.34,-121.87,-122.51,-123.13,-123.77,-124.27,-124.73,-125.27,-125.74,-126.21,-126.66,-127.06,-127.38,-127.67,-127.99,-128.29,-128.55,-128.75,-128.93,-129.13,-129.29,-129.44,-129.57,-129.68,-129.78,-129.88,-129.98,-130.07,-130.15,-130.24,-130.31,-130.37,-130.44,-130.50,-130.55,-130.60,-130.65,-130.68,-130.71,-130.73,-130.74,-130.73,-130.70,-130.66,-130.59,-130.50,-130.38,-130.24,-130.07,-129.86,-129.61,-129.36,-129.08,-128.76,-128.35,-128.00,-127.61,-127.12,-126.68,-126.13,-125.55,-125.06,-124.54,-124.02,-123.49,-122.95,-122.41,-121.84,-121.26,-120.62,-119.94,-119.21,-118.39,-117.52,-116.35,-115.12,-114.02,-112.88,-111.43,-109.89,-108.49,-107.06,-105.55,-103.61,-101.91,-99.84,-98.13,-96.34,-94.43,-92.65,-90.83,-89.03,-87.21,-85.43,-83.63,-81.82,-79.65,-77.81,-76.05,-74.30,-72.52,-70.78,-68.72,-66.90,-65.20,-63.58,-61.90,-60.33,-58.75,-57.17,-55.56,-54.09,-52.57,-51.01,-49.41,-47.95,-46.23,-44.86,-43.20,-41.85,-40.50,-39.25,-37.98,-36.77,-35.59,-34.44,-33.29,-32.20,-31.18,-30.19,-29.22,-28.28,-27.38,-26.52,-25.70,-24.94,-24.21,-23.56,-22.95,-22.38,-21.83,-21.24,-20.77,-20.34,-19.92,-19.52,-19.13,-18.77,-18.43,-18.10,-17.79,-17.43,-17.14,-16.86,-16.59,-16.31,-16.01,-15.72,-15.42,-15.14,-14.78,-14.49,-14.21,-13.92,-13.60,-13.32,-13.03,-12.82,-12.62,-12.44,-12.27,
"G force(G)",1.08,1.08,1.08,1.07,1.07,1.07,1.07,1.07,1.07,1.06,1.06,1.06,1.06,1.05,1.05,1.05,1.05,1.05,1.04,1.04,1.04,1.04,1.04,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.01,1.01,1.01,1.01,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,1.00,1.00,1.00,1.01,1.02,1.02,1.03,1.03,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.04,1.04,1.04,1.04,1.03,1.03,1.03,1.02,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.03,1.03,1.03,1.04,1.05,1.06,1.06,1.07,1.07,1.08,1.08,1.08,1.08,1.08,1.07,1.07,1.07,1.06,1.06,1.05,1.05,1.05,1.04,1.04,1.03,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.99,0.99,1.00,1.00,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.00,1.00,1.00,1.00,1.00,0.99,0.98,0.98,0.99,0.99,0.99,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.03,1.05,1.05,1.05,1.05,1.06,1.05,1.05,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.03,1.03,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.01,1.01,1.01,1.42,1.29,1.20,1.12,1.08,1.07,1.05,1.03,1.02,1.41,1.27,1.16,1.10,1.05,1.01,0.99,0.97,0.96,0.97,0.98,0.99,1.00,1.02,1.02,1.03,1.03,1.03,1.03,1.02,1.00,0.98,0.98,0.99,0.99,0.99,1.01,1.02,1.03,1.03,1.04,1.05,1.05,1.03,1.02,1.02,1.02,1.00,0.99,0.98,0.97,0.98,0.98,0.98,0.98,0.99,1.00,1.01,1.00,0.99,0.98,0.98,0.98,0.96,0.96,0.95,0.94,0.94,0.94,0.95,0.95,1.09,1.06,1.04,1.03,1.03,1.02,1.01,0.99,0.99,1.00,1.01,1.02,1.02,1.02,1.02,1.02,1.01,1.02,1.02,1.02,1.02,1.03,1.02,1.01,0.99,0.97,0.95,0.94,0.94,0.96,0.98,1.11,1.08,
"pitch(degree)",2.34,2.35,2.36,2.37,2.38,2.39,2.40,2.40,2.40,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.40,2.40,2.39,2.38,2.38,2.36,2.35,2.34,2.33,2.31,2.30,2.29,2.27,2.26,2.24,2.22,2.20,2.19,2.17,2.15,2.14,2.12,2.11,2.09,2.08,2.06,2.04,2.03,2.02,2.00,1.99,1.98,1.96,1.95,1.93,1.92,1.90,1.89,1.88,1.87,1.85,1.84,1.83,1.82,1.81,1.80,1.79,1.78,1.77,1.76,1.74,1.73,1.73,1.72,1.71,1.71,1.71,1.71,1.71,1.72,1.73,1.74,1.75,1.77,1.79,1.81,1.83,1.84,1.85,1.86,1.87,1.87,1.87,1.87,1.86,1.86,1.85,1.84,1.83,1.82,1.80,1.79,1.77,1.76,1.74,1.73,1.71,1.69,1.67,1.65,1.63,1.60,1.58,1.56,1.53,1.51,1.47,1.44,1.41,1.38,1.35,1.33,1.30,1.27,1.25,1.23,1.22,1.21,1.20,1.20,1.20,1.20,1.21,1.23,1.25,1.27,1.30,1.33,1.37,1.41,1.46,1.52,1.57,1.62,1.67,1.73,1.77,1.82,1.87,1.91,1.95,1.98,2.02,2.05,2.08,2.11,2.14,2.17,2.19,2.21,2.23,2.24,2.25,2.26,2.26,2.26,2.26,2.25,2.24,2.23,2.21,2.19,2.18,2.16,2.14,2.13,2.11,2.10,2.10,2.10,2.10,2.11,2.12,2.14,2.16,2.19,2.23,2.27,2.31,2.37,2.43,2.49,2.55,2.62,2.69,2.77,2.83,2.89,2.94,2.99,3.03,3.06,3.07,3.08,3.09,3.08,3.07,3.05,3.03,3.00,2.97,2.93,2.89,2.84,2.79,2.73,2.67,2.62,2.55,2.49,2.43,2.37,2.32,2.27,2.22,2.18,2.15,2.11,2.09,2.07,2.05,2.03,2.02,2.01,2.00,2.00,2.00,2.01,2.02,2.03,2.05,2.08,2.10,2.14,2.17,2.20,2.24,2.28,2.31,2.35,2.38,2.41,2.43,2.45,2.47,2.48,2.49,2.49,2.49,2.49,2.48,2.47,2.46,2.45,2.44,2.42,2.41,2.39,2.38,2.37,2.35,2.34,2.33,2.32,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.30,2.30,2.29,2.28,2.27,2.26,2.25,2.23,2.22,2.20,2.18,2.16,2.14,2.12,2.09,2.07,2.04,2.02,1.99,1.97,1.95,1.92,1.91,1.89,1.88,1.88,1.87,1.88,1.89,1.90,1.93,1.95,1.99,2.02,2.07,2.12,2.17,2.24,2.30,2.38,2.46,2.53,2.59,2.67,2.74,2.79,2.84,2.88,2.92,2.96,2.99,3.02,3.05,3.08,3.12,3.15,3.19,3.22,3.26,3.29,3.32,3.35,3.38,3.40,3.41,3.41,3.42,3.42,3.43,3.44,3.45,3.47,3.49,3.52,3.56,3.60,3.65,3.71,3.78,3.85,3.92,4.00,4.08,4.16,4.25,4.34,4.43,4.53,4.62,4.72,4.82,4.92,5.02,5.12,5.22,5.30,5.37,5.44,5.50,5.55,5.59,5.62,5.65,5.67,5.69,5.70,5.71,5.72,5.72,5.73,5.74,5.75,5.76,5.78,5.79,5.80,5.82,5.84,5.85,5.88,5.87,5.83,5.77,5.70,5.64,5.59,5.53,5.48,5.45,5.42,5.36,5.28,5.20,5.12,5.05,4.97,4.91,4.86,4.83,4.81,4.79,4.79,4.79,4.80,4.82,4.84,4.85,4.87,4.88,4.90,4.90,4.91,4.91,4.91,4.91,4.91,4.90,4.89,4.87,4.86,4.84,4.82,4.79,4.77,4.74,4.71,4.68,4.65,4.61,4.57,4.53,4.49,4.45,4.40,4.36,4.32,4.27,4.22,4.17,4.11,4.06,4.01,3.95,3.89,3.84,3.78,3.72,3.66,3.59,3.53,3.47,3.40,3.33,3.24,3.17,3.09,3.01,2.93,2.85,2.77,2.69,2.60,2.51,2.41,2.32,2.23,2.13,2.04,1.93,1.83,1.72,1.61,1.48,1.37,1.27,1.16,1.05,0.95,0.84,0.76,0.67,0.59,0.50,
"elevator(%)",0.02,0.01,-0.00,-0.00,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.04,-0.03,-0.04,-0.04,-0.04,-0.04,-0.05,-0.06,-0.07,-0.07,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.05,-0.03,-0.01,-0.01,0.00,0.01,0.03,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.00,-0.02,-0.02,-0.06,-0.06,-0.06,-0.06,-0.06,-0.07,-0.06,-0.06,-0.06,-0.05,-0.05,-0.04,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.04,-0.04,-0.06,-0.06,-0.06,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.03,-0.03,-0.03,-0.01,0.00,0.01,0.02,0.03,0.03,0.04,0.04,0.06,0.07,0.08,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.05,0.04,0.03,0.01,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,-0.00,-0.02,-0.02,-0.03,-0.04,-0.04,-0.03,-0.03,-0.03,-0.04,-0.02,0.00,0.01,0.02,0.03,0.05,0.07,0.08,0.10,0.11,0.10,0.11,0.12,0.14,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.13,0.09,0.06,0.03,-0.00,-0.03,-0.07,-0.09,-0.08,-0.08,-0.08,-0.07,-0.07,-0.07,-0.07,-0.06,-0.07,-0.08,-0.10,-0.10,-0.10,-0.09,-0.09,-0.03,-0.03,-0.03,-0.00,0.03,0.05,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.09,0.09,0.10,0.10,0.10,0.09,0.09,0.09,0.09,0.09,0.07,0.05,0.03,0.03,0.00,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.03,-0.02,-0.02,-0.00,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.03,0.01,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.04,0.04,0.07,0.08,0.09,0.10,0.11,0.11,0.13,0.14,0.16,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.20,0.20,0.19,0.19,0.14,0.14,0.12,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.13,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.15,0.14,0.12,0.10,0.11,0.11,0.12,0.12,0.19,0.23,0.23,0.25,0.28,0.31,0.34,0.36,0.35,0.35,0.37,0.36,0.36,0.36,0.37,0.40,0.42,0.42,0.41,0.41,0.41,0.41,0.40,0.37,0.33,0.33,0.30,0.28,0.26,0.24,0.21,0.21,0.21,0.22,0.22,0.25,0.28,0.29,0.31,0.34,0.36,0.38,0.39,0.40,0.40,0.43,0.43,0.43,0.43,0.43,0.45,0.45,0.46,0.47,0.48,0.49,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.54,0.54,0.54,0.54,0.54,0.52,0.47,0.38,0.33,0.33,0.28,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.30,0.29,0.29,0.30,0.30,0.30,0.30,0.29,
"engin(%)",0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.48,0.49,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.50,0.50,0.49,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.46,0.46,0.46,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.40,0.40,0.35,0.31,0.31,0.28,0.24,0.24,0.22,0.20,0.20,0.18,0.18,0.16,0.15,0.15,0.11,0.11,0.07,0.04,0.04,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
